,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipment Days,Order Year,Ship Year,Gender
32,2017-12-02,2017-12-04,Second Class,Joy Smith,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,294.62,5.0,0.8,-766.012,2.0,2017,2017,Female
33,2016-09-03,2016-09-05,First Class,Paul Knutson,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Binders,1141.47,5.0,0.7,-760.98,2.0,2016,2016,Male
34,2014-10-31,2014-11-02,Second Class,Anthony Jacobs,Corporate,United States,Lorain,Ohio,44052,East,Furniture,Tables,1421.664,8.0,0.4,-734.5264,2.0,2014,2014,Male
35,2016-09-24,2016-09-26,First Class,Michael Kennedy,Corporate,United States,Rockford,Illinois,61107,Central,Office Supplies,Binders,442.372,7.0,0.8,-729.9138,2.0,2016,2016,Male
36,2014-12-27,2014-12-31,Standard Class,Resi Pölking,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,946.764,6.0,0.7,-694.2936,4.0,2014,2014,Female
37,2017-11-30,2017-12-07,Standard Class,Shahid Collister,Consumer,United States,Burlington,North Carolina,27217,South,Furniture,Tables,1781.682,7.0,0.4,-653.2834,7.0,2017,2017,Male
38,2016-03-13,2016-03-15,Second Class,Stewart Carmichael,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Machines,449.1,3.0,0.7,-643.71,2.0,2016,2016,Male
39,2017-08-17,2017-08-22,Second Class,Tom Prescott,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Chairs,4416.174,9.0,0.3,-630.882,5.0,2017,2017,Male
40,2017-11-28,2017-12-02,Standard Class,Ross Baird,Home Office,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Tables,2065.32,12.0,0.4,-619.596,4.0,2017,2017,Male
41,2014-09-09,2014-09-13,Standard Class,Daniel Lacy,Consumer,United States,Greenville,North Carolina,27834,South,Technology,Machines,1299.99,2.0,0.5,-571.9956,4.0,2014,2014,Male
42,2017-09-08,2017-09-13,Second Class,Michelle Moray,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Tables,765.625,7.0,0.5,-566.5625,5.0,2017,2017,Male
43,2014-09-07,2014-09-13,Standard Class,Sean Braxton,,United States,Philadelphia,Pennsylvania,19134,East,Technology,Machines,399.54,4.0,0.7,-559.356,6.0,2014,2014,Male
44,2014-03-17,2014-03-21,Standard Class,Christine Phan,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,1071.576,4.0,0.4,-553.6476,4.0,2014,2014,Female
45,2016-01-30,2016-02-03,Standard Class,David Flashing,Consumer,United States,Rockford,Illinois,61107,Central,Furniture,Tables,626.1,3.0,0.5,-538.446,4.0,2016,2016,Male
46,2014-09-07,2014-09-14,Standard Class,Shahid Shariari,Consumer,United States,Oswego,Illinois,60543,Central,Office Supplies,Binders,304.99,5.0,0.8,-533.7325,7.0,2014,2014,Male
47,2015-06-22,2015-06-25,First Class,Michael Grace,Home Office,United States,Aurora,Illinois,60505,Central,Furniture,Tables,796.425,7.0,0.5,-525.6405,3.0,2015,2015,Male
48,2015-04-19,2015-04-25,Standard Class,Patrick Gardner,Consumer,United States,Carrollton,Texas,75007,Central,Office Supplies,Binders,310.392,4.0,0.8,-512.1468,6.0,2015,2015,Male
49,2014-09-19,2014-09-21,Second Class,Sean Braxton,Corporate,United States,Houston,Texas,77036,Central,Technology,Machines,3059.982,3.0,0.4,-509.997,2.0,2014,2014,Male
50,2015-11-21,2015-11-25,Standard Class,Shahid Shariari,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Tables,1252.704,8.0,0.4,-480.2032,4.0,2015,2015,Male
51,2017-10-16,2017-10-21,Standard Class,Gary Hansen,Home Office,United States,Yuma,Arizona,85364,West,Technology,Machines,599.985,5.0,0.7,-479.988,5.0,2017,2017,Male
52,2015-03-05,2015-03-09,Second Class,Maribeth Schnelling,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Appliances,180.98,5.0,0.8,-470.548,4.0,2015,2015,Female
53,2016-10-13,2016-10-17,Standard Class,Noah Childs,Corporate,United States,Aurora,Colorado,80013,West,Furniture,Tables,727.45,5.0,0.5,-465.568,4.0,2016,2016,Male
54,2015-12-27,2015-12-31,Standard Class,David Bremer,Corporate,United States,Marion,Ohio,43302,East,Furniture,Tables,1548.99,9.0,0.4,-464.697,4.0,2015,2015,Male
55,2017-12-02,2017-12-09,Standard Class,Giulietta Weimer,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,631.176,4.0,0.7,-462.8624,7.0,2017,2017,Female
56,2014-12-30,2015-01-04,Standard Class,Maureen Fritzler,Corporate,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,551.985,5.0,0.7,-459.9875,5.0,2014,2015,Female
57,2014-03-03,2014-03-07,Standard Class,Sam Craven,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Appliances,176.772,3.0,0.8,-459.6072,4.0,2014,2014,Unknown
58,2017-05-01,2017-05-06,Standard Class,Caroline Jumper,Consumer,United States,Jacksonville,Florida,32216,South,Furniture,Tables,933.262,4.0,0.45,-458.1468,5.0,2017,2017,Female
59,2014-09-08,2014-09-12,Standard Class,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,177.98,5.0,0.8,-453.849,4.0,2014,2014,Male
60,2017-07-18,2017-07-23,Standard Class,Maris LaWare,Consumer,United States,Phoenix,Arizona,85023,West,Furniture,Tables,801.6,5.0,0.5,-448.896,5.0,2017,2017,Female
61,2014-03-17,2014-03-21,Standard Class,Christine Phan,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,1579.746,7.0,0.4,-447.5947,4.0,2014,2014,Female
62,2015-01-03,2015-01-08,Second Class,Amy Hunt,Consumer,United States,Dallas,Texas,75217,Central,Furniture,Bookcases,1352.3976,9.0,0.32,0.0,5.0,2015,2015,Female
63,2017-10-09,2017-10-14,Standard Class,Cyma Kinney,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Tables,652.45,5.0,0.5,-430.617,5.0,2017,2017,Unknown
64,2017-11-10,2017-11-15,Second Class,Edward Becker,Corporate,United States,Round Rock,Texas,78664,Central,Furniture,Furnishings,341.96,5.0,0.6,-427.45,5.0,2017,2017,Male
65,2017-02-05,2017-02-08,Second Class,Cassandra Brandow,Consumer,United States,Waco,Texas,NO_POSTAL_CODE,Central,Office Supplies,Binders,243.992,4.0,0.8,-426.986,3.0,2017,2017,Female
66,2017-12-11,2017-12-17,Standard Class,Darrin Van Huff,Corporate,United States,Jacksonville,Florida,32216,South,Furniture,Tables,721.875,6.0,0.45,-420.0,6.0,2017,2017,Male
67,2017-02-09,2017-02-14,Standard Class,Tom Prescott,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,252.784,4.0,0.8,-417.0936,5.0,2017,2017,Male
68,2017-09-16,2017-09-18,First Class,Adam Shillingsburg,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Binders,538.194,2.0,0.7,-412.6154,2.0,2017,2017,Male
69,2014-04-13,2014-04-17,Second Class,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,509.97,10.0,0.7,-407.976,4.0,2014,2014,Male
70,2014-09-20,2014-09-25,Standard Class,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6.0,0.5,-407.682,5.0,2014,2014,Male
71,2015-06-08,2015-06-12,Standard Class,Maureen Gnade,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Appliances,143.128,2.0,0.8,-393.602,4.0,2015,2015,Female
72,2016-12-25,2017-01-01,Standard Class,Laurel Workman,Corporate,United States,Phoenix,Arizona,85023,West,Technology,Machines,269.97,2.0,0.7,-386.957,7.0,2016,2017,Female
73,2017-09-09,2017-09-13,Standard Class,Stefania Perrino,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,1931.958,7.0,0.4,-386.3916,4.0,2017,2017,Female
74,2017-10-02,2017-10-08,Standard Class,Juliana Krohn,Consumer,United States,Springfield,Oregon,97477,West,Furniture,Bookcases,217.764,6.0,0.7,-384.7164,6.0,2017,2017,Female
75,2015-12-24,2015-12-27,First Class,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,East,Technology,Machines,479.988,4.0,0.7,-383.9904,3.0,2015,2015,Female
76,2015-10-11,2015-10-18,Standard Class,NO_CUSTOMER_NAME,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5.0,0.45,-383.031,7.0,2015,2015,Unknown
77,2016-07-28,2016-08-01,Standard Class,Barry Franz,Home Office,United States,Pasadena,Texas,77506,Central,Furniture,Furnishings,302.72,5.0,0.6,-378.4,4.0,2016,2016,Male
78,2017-07-14,2017-07-18,Standard Class,John Lee,Consumer,United States,Columbus,Ohio,43229,NO_REGION,Technology,Phones,1889.946,9.0,0.4,-377.9892,4.0,2017,2017,Male
79,2015-06-28,2015-07-03,Second Class,Dorothy Wardle,Corporate,United States,Troy,Ohio,45373,East,Furniture,Bookcases,482.94,6.0,0.5,-376.6932,5.0,2015,2015,Female
80,2016-12-23,2016-12-28,Standard Class,Frank Merwin,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Technology,Phones,1499.97,5.0,0.4,-374.9925,5.0,2016,2016,Male
81,2015-01-10,2015-01-15,Standard Class,Michael Moore,Consumer,United States,New York City,New York,10011,East,Furniture,Tables,1018.104,4.0,0.4,-373.3048,5.0,2015,2015,Male
82,2017-12-02,2017-12-06,Standard Class,Bill Stewart,Corporate,United States,Denver,Colorado,80219,West,Furniture,Bookcases,242.352,8.0,0.7,-363.528,4.0,2017,2017,Male
83,2017-05-11,2017-05-13,First Class,Todd Sumrall,Corporate,United States,Phoenix,Arizona,85023,West,Furniture,Bookcases,209.979,7.0,0.7,-356.9643,2.0,2017,2017,Male
84,2016-06-04,2016-06-09,Second Class,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,419.68,5.0,0.6,-356.728,5.0,2016,2016,Male
85,2015-10-15,2015-10-15,Same Day,Joel Eaton,Consumer,United States,Amarillo,Texas,79109,Central,Furniture,Chairs,2453.43,5.0,0.3,-350.49,0.0,2015,2015,Male
86,2017-07-05,2017-07-10,Standard Class,Linda Southworth,Corporate,United States,Dallas,Texas,75220,Central,Furniture,Furnishings,332.028,9.0,0.6,-348.6294,5.0,2017,2017,Female
87,2014-06-06,2014-06-11,Standard Class,Grant Thornton,Corporate,United States,Long Beach,New York,11561,East,Furniture,Tables,991.764,3.0,0.4,-347.1174,5.0,2014,2014,Male
88,2016-08-21,2016-08-23,Second Class,Rick Bensley,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Tables,815.292,9.0,0.4,-339.705,2.0,2016,2016,Male
89,2017-08-15,2017-08-18,Second Class,Dionis Lloyd,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Storage,1801.632,6.0,0.2,-337.806,3.0,2017,2017,Male
90,2014-09-29,2014-10-03,Standard Class,Suzanne McNair,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Storage,1801.632,6.0,0.2,-337.806,4.0,2014,2014,Female
91,2015-10-10,2015-10-15,Standard Class,John Dryer,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Storage,1801.632,6.0,0.2,-337.806,5.0,2015,2015,Male
92,2015-12-03,2015-12-07,Standard Class,Dean Katz,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Technology,Machines,482.34,4.0,0.7,-337.638,4.0,2015,2015,Male
93,2014-08-29,2014-09-02,Second Class,Ryan Akin,Consumer,United States,Miami,Florida,33178,South,Office Supplies,Binders,505.176,4.0,0.7,-336.784,4.0,2014,2014,Unknown
94,2014-12-12,2014-12-12,Same Day,Craig Yedwab,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,210.392,2.0,0.8,-336.6272,0.0,2014,2014,Male
95,2014-05-13,2014-05-15,First Class,Erica Hernandez,Home Office,United States,Hialeah,Florida,33012,South,Office Supplies,Binders,398.352,8.0,0.7,-331.96,2.0,2014,2014,Female
96,2016-12-17,2016-12-21,Standard Class,Charles McCrossin,Consumer,United States,San Francisco,California,94122,West,Furniture,Tables,2003.52,6.0,0.2,-325.572,4.0,2016,2016,Male
97,2014-01-19,2014-01-20,First Class,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,Furniture,Bookcases,181.47,5.0,0.7,-320.597,1.0,2014,2014,Unknown
98,2017-03-18,2017-03-23,Standard Class,Carol Darley,Consumer,United States,Tyler,Texas,75701,Central,Office Supplies,Binders,182.994,3.0,0.8,-320.2395,5.0,2017,2017,Unknown
99,2017-06-24,2017-06-30,Standard Class,Matthew Clasen,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Binders,182.994,3.0,0.8,-320.2395,6.0,2017,2017,Male
100,2016-07-10,2016-07-10,Same Day,Erin Ashbrook,Corporate,United States,Philadelphia,Pennsylvania,19143,East,Technology,Machines,341.991,3.0,0.7,-319.1916,0.0,2016,2016,Unknown
101,2016-09-08,2016-09-10,Second Class,Anna Gayman,Consumer,United States,Houston,Texas,77036,Central,Furniture,Bookcases,2396.2656,4.0,0.32,-317.1528,2.0,2016,2016,Female
102,2015-01-17,2015-01-24,Standard Class,Joni Sundaresam,Home Office,United States,Park Ridge,Illinois,60068,Central,Furniture,Furnishings,254.744,7.0,0.6,-312.0614,7.0,2015,2015,Female
103,2016-12-15,2016-12-21,Standard Class,Mike Pelletier,Home Office,United States,Springfield,Oregon,97477,West,Furniture,Tables,564.195,3.0,0.5,-304.6653,6.0,2016,2016,Male
104,2016-11-25,2016-12-02,Standard Class,Cindy Stewart,Consumer,United States,Lancaster,Ohio,43130,East,Office Supplies,Binders,456.588,2.0,0.7,-304.392,7.0,2016,2016,Male
105,2016-11-29,2016-12-04,Second Class,Daniel Raglin,Home Office,United States,Aurora,Illinois,60505,Central,Furniture,Furnishings,242.176,4.0,0.6,-302.72,5.0,2016,2016,Male
106,2016-09-08,2016-09-14,Standard Class,Sanjit Engle,Consumer,United States,Wheeling,Illinois,60090,Central,Furniture,NO_SUB_CATEGORY,601.47,3.0,0.5,-300.735,6.0,2016,2016,Unknown
107,2017-03-13,2017-03-20,Standard Class,Sanjit Engle,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Supplies,1332.496,2.0,0.2,-299.8116,7.0,2017,2017,Unknown
108,2014-11-03,2014-11-07,Standard Class,Shahid Hopkins,Consumer,United States,Jacksonville,North Carolina,28540,South,Furniture,Tables,945.036,6.0,0.4,-299.2614,4.0,2014,2014,Male
109,2017-08-27,2017-09-01,Standard Class,Allen Rosenblatt,Corporate,United States,Franklin,Massachusetts,2038,East,Furniture,Tables,1488.424,7.0,0.3,-297.6848,5.0,2017,2017,Male
110,2017-06-30,2017-06-30,Same Day,Sheri Gordon,Consumer,United States,New York City,New York,10011,East,Furniture,Tables,1044.63,5.0,0.4,-295.9785,0.0,2017,2017,Male
111,2017-12-14,2017-12-14,Same Day,Dave Brooks,Consumer,United States,Skokie,Illinois,60076,Central,Furniture,Furnishings,266.352,6.0,0.6,-292.9872,0.0,2017,2017,Male
112,2016-11-04,2016-11-06,Second Class,Elpida Rittenbach,Corporate,United States,Charlotte,North Carolina,28205,South,Furniture,Tables,876.3,10.0,0.4,-292.1,2.0,2016,2016,Female
113,2015-07-31,2015-07-31,Same Day,Rick Hansen,Consumer,United States,New York City,New York,10024,East,Furniture,Tables,1090.782,7.0,0.4,-290.8752,0.0,2015,2015,Male
114,2017-12-04,2017-12-09,Standard Class,Lena Radford,Consumer,United States,Nashville,Tennessee,37211,South,Technology,Machines,649.0,2.0,0.5,-272.58,5.0,2017,2017,Female
115,2017-02-17,2017-02-22,Standard Class,Julie Kriz,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Tables,480.96,3.0,0.5,-269.3376,5.0,2017,2017,Female
116,2016-03-01,2016-03-05,Standard Class,Karen Daniels,Consumer,United States,Yonkers,New York,10701,East,Furniture,Tables,836.592,8.0,0.4,-264.9208,4.0,2016,2016,Male
117,2016-12-18,2016-12-21,First Class,Adrian Hane,Home Office,United States,Salem,Oregon,97301,West,Furniture,Tables,377.45,5.0,0.5,-264.215,3.0,2016,2016,Male
118,2017-08-01,2017-08-07,Standard Class,Aaron Smayling,Corporate,United States,Austin,Texas,78745,Central,Technology,Machines,1439.982,3.0,0.4,-263.9967,6.0,2017,2017,Male
119,2016-08-30,2016-09-01,First Class,Patrick O'Brill,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Chairs,786.744,4.0,0.3,-258.5016,2.0,2016,2016,Male
120,2015-04-30,2015-05-02,Second Class,Benjamin Patterson,Consumer,United States,Troy,Ohio,45373,East,Technology,Phones,1022.97,5.0,0.4,-255.7425,2.0,2015,2015,Male
121,2016-08-12,2016-08-16,Standard Class,Cindy Schnelling,Corporate,United States,Lakeland,Florida,33801,South,Furniture,Tables,562.2925,7.0,0.45,-255.5875,4.0,2016,2016,Female
122,2017-09-24,2017-09-28,Standard Class,Mick Hernandez,Home Office,United States,Lancaster,Ohio,43130,East,Technology,Phones,1169.694,3.0,0.4,-253.4337,4.0,2017,2017,Male
123,2014-09-19,2014-09-21,Second Class,Sean Braxton,Corporate,United States,Houston,Texas,77036,Central,Technology,Machines,2519.958,7.0,0.4,-251.9958,2.0,2014,2014,Male
124,2016-11-03,2016-11-05,First Class,Natalie Webber,Consumer,United States,Portland,Oregon,97206,West,Technology,NO_SUB_CATEGORY,179.991,3.0,0.7,-251.9874,2.0,2016,2016,Female
125,2016-09-26,2016-09-30,Standard Class,Lisa Ryan,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Appliances,93.032,2.0,0.8,-251.1864,4.0,2016,2016,Female
126,2014-11-11,2014-11-15,Second Class,Tom Stivers,Corporate,United States,Reading,Pennsylvania,19601,East,Furniture,Bookcases,521.96,4.0,0.5,-250.5408,4.0,2014,2014,Male
127,2014-11-24,2014-11-29,Standard Class,Thea Hendricks,Consumer,United States,Toledo,Ohio,43615,East,Technology,Phones,1502.376,4.0,0.4,-250.396,5.0,2014,2014,Female
128,2017-12-22,2017-12-28,Standard Class,Jack Lebron,Consumer,United States,Jackson,Tennessee,38301,South,Furniture,Tables,934.956,6.0,0.4,-249.3216,6.0,2017,2017,Male
129,2017-04-07,2017-04-12,Standard Class,Christopher Schild,Home Office,United States,Tampa,Florida,33614,South,Furniture,Tables,620.6145,3.0,0.45,-248.2458,5.0,2017,2017,Male
130,2015-12-11,2015-12-16,Standard Class,Irene Maddox,Consumer,United States,Colorado Springs,Colorado,80906,West,Furniture,Tables,364.95,5.0,0.5,-248.166,5.0,2015,2015,Male
131,2015-11-20,2015-11-23,Second Class,Michelle Moray,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Bookcases,145.764,6.0,0.7,-247.7988,3.0,2015,2015,Male
132,2015-01-02,2015-01-09,Standard Class,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,Furniture,Bookcases,452.45,5.0,0.5,-244.323,7.0,2015,2015,Male
133,2017-04-21,2017-04-25,Second Class,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,97.264,4.0,0.8,-243.16,4.0,2017,2017,Male
134,2016-03-24,2016-03-26,Second Class,Dan Campbell,Consumer,United States,Cleveland,Ohio,44105,East,Furniture,Bookcases,301.47,3.0,0.5,-241.176,2.0,2016,2016,Male
135,2017-09-23,2017-09-29,Standard Class,Arthur Prichep,Consumer,United States,Fort Collins,Colorado,80525,West,Furniture,Bookcases,180.588,2.0,0.7,-240.784,6.0,2017,2017,Male
136,2016-10-21,2016-10-26,Standard Class,Victoria Wilson,Corporate,United States,Lakewood,Ohio,44107,East,Furniture,Tables,661.176,2.0,0.4,-231.4116,5.0,2016,2016,Male
137,2017-01-09,2017-01-13,Standard Class,Beth Paige,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,274.491,3.0,0.7,-228.7425,4.0,2017,2017,Female
138,2014-08-16,2014-08-20,Standard Class,Troy Staebel,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Tables,853.092,6.0,0.4,-227.4912,4.0,2014,2014,Male
139,2017-03-26,2017-03-30,Standard Class,Heather Kirkland,Corporate,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,87.168,8.0,0.8,-226.6368,4.0,2017,2017,Female
140,2016-02-16,2016-02-20,Standard Class,Erin Ashbrook,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,92.064,6.0,0.8,-225.5568,4.0,2016,2016,Unknown
141,2016-09-27,2016-10-03,Standard Class,Harry Marie,Corporate,United States,Huntsville,Texas,77340,Central,Furniture,Bookcases,956.6648,7.0,0.32,-225.0976,6.0,2016,2016,Male
142,2016-11-05,2016-11-09,Standard Class,Emily Phan,Consumer,United States,Houston,Texas,77036,Central,Furniture,Bookcases,956.6648,7.0,0.32,-225.0976,4.0,2016,2016,Female
143,2015-07-16,2015-07-16,Same Day,Eleni McCrary,Corporate,United States,San Francisco,California,94122,West,Furniture,Chairs,1348.704,6.0,0.2,-219.1644,0.0,2015,2015,Female
